pid,name,category,price,type,explanation,image
1,당근,식품,20000,채소,"원산지:국산<br>세척당근 3kg",carrot.jpg
2,바나나,식품,9900,과일,"필리핀산 1.3kg 내외 1송이",banana.jpg
3,방울토마토,식품,7000,과일,"국내산 방울토마토 600g/팩",tomato.png
4,배,식품,13000,과일,"산지직송 나주배 3kg 4~7개입",pear.jpg
5,복숭아,식품,20000,과일,"2kg 9~12과 털복숭아<br>원산지: 국내산",peach.jpg
6,사과,식품,16000,과일,"1.5Kg/봉 국내산 서늘한 곳에 보관하세요",apple.jpg
7,수박,식품,17900,과일,"국내산 5~6kg 미만 높은 당도의 당도선별 수박입니다",waterm.jpg
8,오이,식품,5000,채소,"국내산 5입 친환경 백오이",cu.jpg
9,우유,식품,6580,유제품,"서울우유 2.3L<br>세균수 1A등급, 체세포수 1등급을 충족시키는 서울우유는 건강한 젖소에서 나온 최고 품질의 원유를 사용했어요",milk.png
10,치즈,식품,5000,유제품,"15매입<br>빵이나 요리 위에 얹어 먹기 좋은 서울우유의 체다 슬라이스 치즈입니다",치즈.png
11,포도,식품,8400,과일,"미국산 씨없는 블랙아도라 포도 700g",grape.jpg
12,신라면,식품,4000,라면,"농심 신라면은 우리 입맛에 맞는 얼큰하고 매운맛 제품으로 농심의 정성과 앞선 기술 그리고 좋은 원료로 만들어 남녀노소 구분없이 많은 사랑을 받는 제품입니다.",tls.jpg
13,키친타올,생활용품,7000,주방용품,"150매*6롤 / 식품 접촉에도 안심할 수 있는 식품용 기구입니다. 국내 식약처의 식품용 기구 기준을 만족한 제품으로 안심할 수 있고, 더 도톰한 흡수층의 4D 엠보싱으로 기름기나 물기를 깔끔하게 흡수합니다",zlcls.png
14,섬유유연제,생활용품,4500,청소세탁,"3L / 세제 잔여물 걱정을 덜어주는 구연산 함유/ 보존제, 색소 등 우려되는 13가지 성분이 없음. 피부 테스트 완료 제품",섬유유연제.jpg
15,종이컵,생활용품,1000,주방용품,"180ml 50개입 180ML의 평범한 종이컵으로, 커피와 차, 음료수 등을 마실 때 사용하기 좋아요",papercup.jpg
16,반팔티셔츠,패션의류,27000,상의,"반팔 셔츠 블랙 프리사이즈 COTTON 60% + POLY 40%",tshirt.jpg
17,기모바지,패션의류,35000,하의,"겨울 기모바지 여성용 ",winterp.jpg
18,골프공,스포츠레저,23500,스포츠,"골프공 24입 / 드라이버 타격 시 백 스핀을 억제시켜 저스핀에 의한 중탄도의 큰 비거리를 낼 수 있도록 설계되었어요. 일관된 방향성과 안정된 비행탄도를 낼 수 있어요.",golfb.jpg
19,텐트,스포츠레저,489900,레저,"텐트 면 혼방 / 바닥소재  PCV 혼방 / 크기 : 410*210*200 / 확장형 천막 설계- 더 넓은 공간 제공",tent.jpg
20,수정테이프,생활용품,3000,문구류,"5mm*6m<br>
미니 롤러로 만들어져 테이프의 부착이 참 부드러워요. 꼼꼼하고 뜸 없이 부착되어 깔끔하고, 어느 정도 기울기에도 헤더가 부드럽게 움직여서 누구나 쉽게 사용할 수 있답니다. 또한 헤더를 보호하는 캡이 부착되어 더 안전하고 위생적으로 사용할 수 있어요. 다 사용한 수정테이프는 리필용으로 교체해서 오래오래 사용해보세요",tnwjdtape.png
21,향수,생활용품,90000,헤어뷰티,"미스 디올 블루밍 부케 오 드 뚜왈렛 30ml<br>
산뜻한 플로럴 노트와 다채로운 색감의 꾸뛰르 보우가 매력적인 미스 디올 블루밍 부케<br>
맥박이 뛰는 곳에 스프레이를 1~2회 분사해줍니다. 향의 지속력을 더욱 유지하고 싶을 경우 동일 향수의 바디로션이나 크림을 바른 후 사용하셔도 됩니다.",perfume.jpg
22,샴푸,생활용품,15300,헤어뷰티,"엘라스틴 데일리 리페어링 퍼퓸 샴푸 1100ML 라벤더향",shampoo.png
23,깻잎,식품,1680,채소,"국내산 45g 내외",rotdlv.png
24,상추,식품,2480,채소,"국산 200g<br>
보관방법<br>채소를 깨끗이 씻은 후, 체에 밭쳐 물기를 제거해주세요. 키친타월로 채소를 감싼 후 지퍼백에 넣어 냉장보관해주세요.",tkdcn.png
25,콩나물,식품,2600,채소,"천연암반수로 키운 아삭아삭 콩나물 340g",콩나물.png
26,"플레인 요거트",식품,8100,유제품,"더 진한 플레인 요거트 스위트 1.8L<br>
원유명가 서울우유 원유 92% 에 유산균 먹이인 올리고당을 넣어 발효한 부드럽고 깔끔한 플레인 요거트",plainyog.png
27,두유,식품,14400,유제품,"190ml * 24팩",두유.png
28,버터,식품,11900,유제품,450g,butter.png
29,세탁세제,생활용품,16900,청소세탁,"베이킹소다+구연산 세탁세제3L(일반 드럼 겸용)",tpxkr.png
30,섬유탈취제,생활용품,8200,청소세탁,"페브리즈 강력섬유탈취제",탈취제.png
31,빨래건조대,생활용품,15000,청소세탁,"국산 올스텐 접이식 튼튼한 빨래건조대",건조대.png
32,진공청소기,생활용품,200000,청소세탁,"무게: 4.4kg  크기: 260 x 265 x 352mm",청소기.png
33,프라이팬,생활용품,32000,주방용품,"더 강화된 티타늄 코팅으로 요리를 더 맛있게 만들어 주는 프라이팬을 만나보세요",frypan.jpg
34,과도,생활용품,4830,주방용품,113mm,과도.png
35,고무장갑,생활용품,3800,주방용품,"고무장갑(크기-중)2켤레<br>
라텍스 재질로 만들어져 촉감이 부드럽고 밀착력이 강해요",rhan.png
36,후드티,패션의류,30000,상의,"남자 여자 공용 데일리 베이직 무지 후드티<br>
면 60%, 폴리에스터 40%",hood.png
37,긴팔와이셔츠,패션의류,19800,상의,"고급 스판 슬림 화이트 흰색 와이셔츠<br>물세탁 가능, 드라이크리닝 권장",ytucm.png
38,운동화,패션의류,55000,신발,"남자 여자 공용 트레이닝 런닝화",운동화.jpg
39,샌들(여성),패션의류,80000,신발,"제조: 중국<br>색상:GREEN<br>
굽 높이 6cm",tosemf.png
40,슬리퍼,패션의류,15500,신발,"사이즈 230~280 데일리 슬리퍼 블랙<br>제조:중국",tmfflvj.png
41,구두(남성용),패션의류,113100,신발,"색상 : 블랙<br>
주소재: 소가죽, 제조:한국<br>특별할인가",rnen.png
42,"배드민턴 라켓",스포츠레저,35000,스포츠,"라켓 2자루, 케이스 포함<br>
견고한 프레임으로 깨끗한 타구감을 제공합니다",badmin.jpg
43,요가매트,스포츠레저,9000,스포츠,"6mm 그레이 요가 홈트 헬스매트",yoga.png
44,자전거,스포츠레저,190000,스포츠,20인치바퀴/15kg<br>자전거+실리콘라이트+미니벨,bike.jpg
45,물안경,스포츠레저,37000,스포츠,"선수용 강습용 물안경",wglass.png
46,진라면,식품,4000,라면,"진하고 얼큰한 국물과 쫄깃한 면발의 진라면 매운맛 120g*5개",wls.jpg
47,불닭볶음면(컵),식품,1400,라면,"104g 425kcal<br>K-Spicy의 아이콘!<br>계속 끌리는 중독성 강한 매운맛의 불닭볶음면",qnfekfr.jpg
48,신라면(큰컵),식품,1400,라면,"114g 490kcal<br>신라면은 우리 입맛에 맞는 얼큰하고 매운맛 제품으로 농심의 정성과 앞선 기술 그리고 좋은 원료로 만들어 남녀노소 구분없이 많은 사랑을 받는 제품입니다.",tlscup.jpg
49,낚싯대,스포츠레저,200000,레저,"초경량 고감도 퍼펙트밸런스 낚싯대",fishing.png
50,오리발,스포츠레저,48000,레저,"오리발 가방 포함",오리발.png
51,등산배낭,스포츠레저,30000,레저,"그레이 다용도 등산 배낭",등산배낭.png
52,노트,생활용품,4800,문구류,"스프링 노트 5권 세트 판매",note.png
53,형광펜,생활용품,2400,문구류,"6색 세트<br>잉크 맺힘 없는 파스텔톤 형광펜",형광펜.png
54,반바지,패션의류,18000,하의,"여름 아웃포켓 5부 반바지 밴딩 팬츠 남성용 베이지",short.png
55,"트레이닝복 바지",패션의류,29500,하의,"남자 여자 공용 밴딩 기모 와이드 트레이닝 바지",트레이닝복.png
56,패딩,패션의류,47000,겉옷,"가볍고 따뜻한 오버핏 남녀공용 숏패딩<br>보온, 방풍 효과 좋은 하이넥 디자인<br>색상: 그레이",패딩.png
57,"진라면 순한맛",식품,4000,라면,"진하고 담백한 국물과 쫄깃한 면발의 진라면 순한맛 120g*5개",wlstns.jpg
58,다이어리,생활용품,14000,문구류,"2024년 날짜형 다이어리",ekdldjfl.png
59,샤프,생활용품,3000,문구류,"정확한 작동과 안정된 품질 - 스탠다드한 6각 디자인으로 안정감 있는 필기감을 유지합니다",tivm.png
60,린스,생활용품,16900,헤어뷰티,"헤어 컨디셔닝 린스 딥 클린 850ml",flstm.png
61,바디로션,생활용품,13900,헤어뷰티,"연약하고 건조한 피부를 건강하고 촉촉하게 가꿔주는 저자극 고보습 로션<br> 하이포알러제닉 테스트,피부과 테스트 완료",fhtus.png
62,클렌징폼,생활용품,10000,헤어뷰티,"촉촉한 올리브 클렌징폼 200ml<br>중건성 피부용",zmfvha.png
63,맨투맨,패션의류,30000,상의,"남자 여자 공용 데일리 베이직 무지 기모 맨투맨 (블랙)",mtm.png
64,니트,패션의류,40000,상의,"여성 라운드넥 니트 프리사이즈",slxm.png
65,코트,패션의류,90000,겉옷,"핸드메이드 슬림핏 베이직 코트 브라운 컬러",coat.png
66,롱패딩,패션의류,180000,겉옷,"아디다스 롱 다운 코트 블랙화이트<br>겉감/안감-폴리에스터100%, 충전재-오리솜털80%, 오리깃털20%",long.png
67,후드집업,패션의류,64000,겉옷,"남성 겨울 나이키 기모 후드집업 (그레이)",zip.png
68,롱스커트,패션의류,20000,하의,"롱 플리츠 스커트<br>
색상: 블랙 사이즈:FREE",lskirt.png
69,슬랙스,패션의류,40000,하의,"여성 기모 부츠컷 슬랙스 (블랙)",tmffor.png
